name,rating,total_reviews,phone,address,hours_days,amenities_count,photos_count,reviews_count
PharmEasy Labs Collection Centre,5.0,,090758 70970,"Mulshi Rd, opp. HP Petrol Pump, Bhugaon, Bavdhan, Pune, Bhugaon, Maharashtra 412115",7,0,0,0
Honalikar Diagnostics - Dr. Seema's HD - Best Pathology Processing laboratory in Baner-Mahalunge,5.0,39,073789 88988,"shitaladevi chowk, Shop no.4, 1st floor, GK commercial complex, Baner - Mahalunge Rd, above puneri sweets, Pune, Maharashtra 411045",7,9,10,15
Impulse Pathology Lab | Blood Testing Lab | Diagnostic Center | Pathology Lab Service | Health Checkups in Hinjewadi.,4.4,29,093732 53743,"Laxmi Chauk, Marunji Rd, near Gurukrupa Hospital, Phase 1, Hinjawadi Rajiv Gandhi Infotech Park, Hinjewadi, Pune, Hinjavadi, Maharashtra 411057",7,8,25,15
Pawar Diagnostic center,4.7,43,072191 14764,"shop no-4, sai complex, sus, nande road, susgaon, Pune, Maharashtra 411021",7,6,25,15
Sai Shree pathology laboratory,4.8,35,098340 71394,"Shree hospital, Anand Nagar, Shri Krupa Society, Old Sangvi, ganganagar, Pune, Maharashtra 411027",7,5,14,15
diagnostic centre,1.0,,079726 36565,"Opp. Forest trails, paud Road, Mulshi Rd, Bhugaon, Tal, Maharashtra 412115",7,3,15,0
Mediplus Pathology Laboratory,5.0,2,098607 33332,"phase 3 ,Near megapolis, Bhoirwadi, Maharashtra 411057",7,1,4,0
Supreme Path Labs || Collection centre ||,,20,,"HPWM+6XP, Hinjawadi, Pune, Hinjavadi, Maharashtra 411057",0,0,5,0
SRL DIAGNOSTICS and pathology lab,,2,,"More vidyalay chowk, Paud Rd, opp. baroda bank, Pune, Pirangut, Maharashtra 412115",0,2,0,0
Mediclue GD Diagnostics Centre,,82,,"Office no. 203, Sapphire Chambers, Riviresa Society, Baner, Pune, Maharashtra 411045",0,6,16,0
AROGYAM PATHOLOGY LABORATORY,,14,092257 09500,"21, Dsk Ranwara, Navkar Avenue, Bavdhan, Pune, Maharashtra 411021",0,3,4,0
Mediline Pathology Laboratory. Sus gaon pune,,50,070583 10023,"shop no. 2, shivanjali washing centre, shivalaya building, near Pashan - Sus Road, Pune, Maharashtra 411021",0,1,6,0
Sai Shree Pathology Laboratory,,76,082089 48256,"Commercial Complex, Shop No.107 Rose icon, Kunal Icon Rd, opp. RBL Bank, Pimple Saudagar, Pune, Maharashtra 411027",0,10,14,0
